,StateName,Plan_Shorthand,Year,BenefitsPerPerson
115,Arizona,Arizona CORP,2015,22813.86593914845
116,Arizona,Arizona CORP,2016,21631.171415981196
117,Arizona,Arizona CORP,2017,22546.089033916498
118,Arizona,Arizona CORP,2018,25539.903441987357
119,Arizona,Arizona CORP,2019,22385.410159746203
120,Arizona,Arizona CORP,2020,24442.658251440927
121,Arizona,Arizona CORP,2021,25441.391021237192
122,Arizona,Arizona CORP,2022,27034.833686831913
125,Arizona,Arizona EORP,2000,6484.142392974545
126,Arizona,Arizona EORP,2001,13048.358061325422
127,Arizona,Arizona EORP,2002,15405.48256248443
128,Arizona,Arizona EORP,2003,17576.573328046303
129,Arizona,Arizona EORP,2004,19348.884787529583
130,Arizona,Arizona EORP,2005,21568.852041941143
131,Arizona,Arizona EORP,2006,23719.135899660945
132,Arizona,Arizona EORP,2007,24406.57510288066
133,Arizona,Arizona EORP,2008,27565.38869355268
134,Arizona,Arizona EORP,2009,30913.607628078797
135,Arizona,Arizona EORP,2010,33062.78594478308
136,Arizona,Arizona EORP,2011,30293.292344423306
137,Arizona,Arizona EORP,2012,33056.35170061491
138,Arizona,Arizona EORP,2013,35255.18295388438
139,Arizona,Arizona EORP,2014,41470.72546691137
140,Arizona,Arizona EORP,2015,43277.020559301425
141,Arizona,Arizona EORP,2016,47049.54598899863
142,Arizona,Arizona EORP,2017,50399.00420831141
143,Arizona,Arizona EORP,2018,53331.64574425511
144,Arizona,Arizona EORP,2019,55362.047451198865
145,Arizona,Arizona EORP,2020,60973.73721334672
146,Arizona,Arizona EORP,2021,61455.341685774154
147,Arizona,Arizona EORP,2022,66600.8094835363
150,Arizona,Arizona PSPRS,2000,128963.51391941478
151,Arizona,Arizona PSPRS,2001,138299.04007211392
152,Arizona,Arizona PSPRS,2002,147379.1761052209
153,Arizona,Arizona PSPRS,2003,158885.95008433587
154,Arizona,Arizona PSPRS,2004,166064.20303639583
155,Arizona,Arizona PSPRS,2005,169826.25165299865
156,Arizona,Arizona PSPRS,2006,165871.25798928327
157,Arizona,Arizona PSPRS,2007,182168.01783817747
158,Arizona,Arizona PSPRS,2008,195182.17736493974
159,Arizona,Arizona PSPRS,2009,207158.2548441423
160,Arizona,Arizona PSPRS,2010,234001.5014797617
161,Arizona,Arizona PSPRS,2011,204493.37971477376
162,Arizona,Arizona PSPRS,2012,202708.15890484102
163,Arizona,Arizona PSPRS,2013,198096.52890336898
164,Arizona,Arizona PSPRS,2014,200075.6063499765
165,Arizona,Arizona PSPRS,2015,182563.52414975455
166,Arizona,Arizona PSPRS,2016,191000.50212402217
167,Arizona,Arizona PSPRS,2017,195985.09928048606
168,Arizona,Arizona PSPRS,2018,185609.4811728609
169,Arizona,Arizona PSPRS,2019,225343.2964684968
170,Arizona,Arizona PSPRS,2020,245112.0261111135
171,Arizona,Arizona PSPRS,2021,257524.86581869452
172,Arizona,Arizona PSPRS,2022,269539.51434152725
192,Arizona,Arizona PSPRS Tier 3,2017,
193,Arizona,Arizona PSPRS Tier 3,2018,0.0
194,Arizona,Arizona PSPRS Tier 3,2019,0.0
195,Arizona,Arizona PSPRS Tier 3,2020,0.0
196,Arizona,Arizona PSPRS Tier 3,2021,79.413227600122
197,Arizona,Arizona PSPRS Tier 3,2022,4957.336425190994
200,Arizona,Arizona SRS,2000,8440.061258640852
201,Arizona,Arizona SRS,2001,8370.556520668792
202,Arizona,Arizona SRS,2002,8366.1534026711
203,Arizona,Arizona SRS,2003,8612.821664341429
204,Arizona,Arizona SRS,2004,9039.372760297638
205,Arizona,Arizona SRS,2005,9349.018511752814
206,Arizona,Arizona SRS,2006,9369.244848415683
207,Arizona,Arizona SRS,2007,8488.31054245194
208,Arizona,Arizona SRS,2008,8674.471632190483
209,Arizona,Arizona SRS,2009,8935.380705010943
210,Arizona,Arizona SRS,2010,9646.848807430702
211,Arizona,Arizona SRS,2011,10319.776003316796
212,Arizona,Arizona SRS,2012,10885.21796308726
213,Arizona,Arizona SRS,2013,11238.921288001993
214,Arizona,Arizona SRS,2014,11673.480224485604
215,Arizona,Arizona SRS,2015,11963.091224634602
216,Arizona,Arizona SRS,2016,12373.437646445765
217,Arizona,Arizona SRS,2017,12580.626022679373
218,Arizona,Arizona SRS,2018,12768.152414824908
219,Arizona,Arizona SRS,2019,12983.895435173457
220,Arizona,Arizona SRS,2020,13120.355545269063
221,Arizona,Arizona SRS,2021,13265.680610361942
222,Arizona,Arizona SRS,2022,13481.320803607767
225,Arkansas,Arkansas PERS,2000,1686.9139529535505
226,Arkansas,Arkansas PERS,2001,14600.158187307201
227,Arkansas,Arkansas PERS,2002,15010.326976093005
228,Arkansas,Arkansas PERS,2003,15656.747860802907
229,Arkansas,Arkansas PERS,2004,15829.92885245036
230,Arkansas,Arkansas PERS,2005,16922.424835071703
231,Arkansas,Arkansas PERS,2006,17077.088302131375
232,Arkansas,Arkansas PERS,2007,17731.951584708604
233,Arkansas,Arkansas PERS,2008,18840.058419000867
234,Arkansas,Arkansas PERS,2009,20669.77951655787
235,Arkansas,Arkansas PERS,2010,21691.24087673683
236,Arkansas,Arkansas PERS,2011,22650.258987356458
237,Arkansas,Arkansas PERS,2012,23319.506636000053
238,Arkansas,Arkansas PERS,2013,25301.288269302924
239,Arkansas,Arkansas PERS,2014,25950.27745623649
240,Arkansas,Arkansas PERS,2015,27980.3368079386
241,Arkansas,Arkansas PERS,2016,29705.38047398545
242,Arkansas,Arkansas PERS,2017,29055.30361633285
243,Arkansas,Arkansas PERS,2018,32122.498605702516
244,Arkansas,Arkansas PERS,2019,31581.923248120936
245,Arkansas,Arkansas PERS,2020,36435.52856060003
246,Arkansas,Arkansas PERS,2021,37369.77514219459
247,Arkansas,Arkansas PERS,2022,37401.97527552704
250,Arkansas,Arkansas TRS,2000,23189.32244749038
251,Arkansas,Arkansas TRS,2001,31185.383413693347
252,Arkansas,Arkansas TRS,2002,31179.698085031625
253,Arkansas,Arkansas TRS,2003,30509.074227460977
254,Arkansas,Arkansas TRS,2004,30786.61970362648
255,Arkansas,Arkansas TRS,2005,32474.389064520765
256,Arkansas,Arkansas TRS,2006,34906.27525269889
257,Arkansas,Arkansas TRS,2007,35408.516495648786
258,Arkansas,Arkansas TRS,2008,35992.15234710136
259,Arkansas,Arkansas TRS,2009,38780.20113435385
260,Arkansas,Arkansas TRS,2010,42436.65521413017
261,Arkansas,Arkansas TRS,2011,43155.02682941211
262,Arkansas,Arkansas TRS,2012,46344.66364274845
263,Arkansas,Arkansas TRS,2013,48252.24879637039
264,Arkansas,Arkansas TRS,2014,56409.18681513047
265,Arkansas,Arkansas TRS,2015,57678.95351669964
266,Arkansas,Arkansas TRS,2016,59558.636344472594
267,Arkansas,Arkansas TRS,2017,64809.152957454164
268,Arkansas,Arkansas TRS,2018,68224.94251589922
269,Arkansas,Arkansas TRS,2019,68841.841167881
270,Arkansas,Arkansas TRS,2020,70430.70621553471
271,Arkansas,Arkansas TRS,2021,60503.15688651929
272,Arkansas,Arkansas TRS,2022,61423.75868039898
275,Arkansas,Arkansas DOT,2000,2011.2747476105724
276,Arkansas,Arkansas DOT,2001,2314.056030535483
277,Arkansas,Arkansas DOT,2002,2789.09443224494
278,Arkansas,Arkansas DOT,2003,3493.899683197812
279,Arkansas,Arkansas DOT,2004,3984.7632833995676
280,Arkansas,Arkansas DOT,2005,4420.025969907869
281,Arkansas,Arkansas DOT,2006,5040.233657510032
282,Arkansas,Arkansas DOT,2007,5858.009656502057
283,Arkansas,Arkansas DOT,2008,6645.6078054697755
284,Arkansas,Arkansas DOT,2009,7678.041941109145
285,Arkansas,Arkansas DOT,2010,8889.400406155328
286,Arkansas,Arkansas DOT,2011,10339.09496914926
287,Arkansas,Arkansas DOT,2012,12240.444111976018
288,Arkansas,Arkansas DOT,2013,15008.262599013617
289,Arkansas,Arkansas DOT,2014,18202.65349727094
290,Arkansas,Arkansas DOT,2015,20799.811687144967
291,Arkansas,Arkansas DOT,2016,21801.543894357477
292,Arkansas,Arkansas DOT,2017,22720.183209263854
293,Arkansas,Arkansas DOT,2018,23463.90407135029
294,Arkansas,Arkansas DOT,2019,24056.7321479587
295,Arkansas,Arkansas DOT,2020,24612.500050929983
296,Arkansas,Arkansas DOT,2021,25047.39526657576
297,Arkansas,Arkansas DOT,2022,19086.98361806693
300,Arkansas,Arkansas Local P&F,2000,1552.1851653811268
301,Arkansas,Arkansas Local P&F,2001,17726.555091123926
302,Arkansas,Arkansas Local P&F,2002,1781.5197453085686
303,Arkansas,Arkansas Local P&F,2003,1832.6883232708187
304,Arkansas,Arkansas Local P&F,2004,1865.2073440388588
305,Arkansas,Arkansas Local P&F,2005,1915.5624384421583
306,Arkansas,Arkansas Local P&F,2006,1970.57861459757
307,Arkansas,Arkansas Local P&F,2007,2012.658597709675
308,Arkansas,Arkansas Local P&F,2008,2132.0035925427824
309,Arkansas,Arkansas Local P&F,2009,2233.943479239935
310,Arkansas,Arkansas Local P&F,2010,2546.7122507009367
311,Arkansas,Arkansas Local P&F,2011,2889.9199953107072
312,Arkansas,Arkansas Local P&F,2012,3173.076745914275
313,Arkansas,Arkansas Local P&F,2013,4250.2901429641
314,Arkansas,Arkansas Local P&F,2014,4743.279537861533
315,Arkansas,Arkansas Local P&F,2015,5247.828379761694
316,Arkansas,Arkansas Local P&F,2016,5735.786449728344
317,Arkansas,Arkansas Local P&F,2017,6441.8848268343645
318,Arkansas,Arkansas Local P&F,2018,7503.160175761408
319,Arkansas,Arkansas Local P&F,2019,8036.67432687512
320,Arkansas,Arkansas Local P&F,2020,8558.566950423443
321,Arkansas,Arkansas Local P&F,2021,9023.406923152901
322,Arkansas,Arkansas Local P&F,2022,6727.756432827736
325,California,CalPERS,2000,64977.02087241499
326,California,CalPERS,2001,57191.291628404215
327,California,CalPERS,2002,52318.122272543114
328,California,CalPERS,2003,48369.49837182709
329,California,CalPERS,2004,45967.95923372898
330,California,CalPERS,2005,44906.88220637828
331,California,CalPERS,2006,44098.01390202922
332,California,CalPERS,2007,43581.348521204854
333,California,CalPERS,2008,43071.53560344253
334,California,CalPERS,2009,43128.9543341595
335,California,CalPERS,2010,43830.762542231125
336,California,CalPERS,2011,44843.71541791116
337,California,CalPERS,2012,45269.498173613385
338,California,CalPERS,2013,46099.06480851454
339,California,CalPERS,2014,46434.14964632106
340,California,CalPERS,2015,46823.40341312153
341,California,CalPERS,2016,47196.434898525826
342,California,CalPERS,2017,47422.33733078326
343,California,CalPERS,2018,48302.43593061093
344,California,CalPERS,2019,49341.936988894275
345,California,CalPERS,2020,50328.39562123519
346,California,CalPERS,2021,45500.45916966437
347,California,CalPERS,2022,34342.54449700913
350,California,CalSTRS,2000,16819.489163173926
351,California,CalSTRS,2001,43199.137080302025
